Referencia contrato,Objeto,Entidad,Entidad contratante,Importe licitación,Tipo contrato,Procedimiento adjudicación,Nº licitadores,Fecha formalización,Adjudicatario,Importe adjudicación,Nombre PDF,Url PDF,uri
Factura nº  a0114,"Actividades, Programa Escolar de Arborismo",Diputación de Cádiz,Diputación de Cádiz,400.00,Servicio,Contrato menor,3,06/10/2015,Entre Ramas AVENTURA,400.00,06/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1867.csv
42/2015EV,Suministro 22 kits de material deportivo para las IV Convivencias de Escuelas de Atletismo de la Provincia,Diputación de Cádiz,DIPUTACION CADIZ,4545.45,Suministro,menor,5,06/10/2015,Sport Garrido SA,4545.2,06/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/58.csv
Factura nº  a0115,"Actividades, Programa Escolar de Arborismo",Diputación de Cádiz,Diputación de Cádiz,400.00,Servicio,Contrato menor,3,07/10/2015,Entre Ramas AVENTURA,400.00,07/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1866.csv
Factura nº  a0116,"Actividades, Programa Escolar de Arborismo",Diputación de Cádiz,Diputación de Cádiz,400.00,Servicio,Contrato menor,3,08/10/2015,Entre Ramas AVENTURA,400.00,08/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1865.csv
Factura nº  a0117,"Actividades, Programa Escolar de Arborismo",Diputación de Cádiz,Diputación de Cádiz,400.00,Servicio,Contrato menor,3,15/10/2015,Entre Ramas AVENTURA,400.00,15/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1864.csv
78/2015EV,Pintado en dependencias oficiales Planta Alta (Guardia Civil),Diputación de Cádiz,DIPUTACION CADIZ,2840.41,obras,menor,3,15/10/2015,Juan Miguel Benítez Sánchez (Pinturas-Benitez),1800,15/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/92.csv
73/2015EV,"Resanado de humedades y pintado, dependencias oficiales (Guardia Civil)",Diputación de Cádiz,DIPUTACION CADIZ,5655.13,obras,menor,3,18/10/2015,Balbino Barberán Montiano ,5400,18/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/91.csv
44/2015EV,Ambulancia con servicio médico para la cobertura de emergencias en el desarrollo de las IV Convivencias de Atletismo de la Provincia,Diputación de Cádiz,DIPUTACION CADIZ,900,servicios,menor,4,20/10/2015,"Servicios Médico Sanitarios del Sur, S.A.U.",900,20/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/68.csv
Factura nº  a0119,"Actidades, Programa Escolar de Arborismo",Diputación de Cádiz,Diputación de Cádiz,400.00,Servicio,Contrato menor,1,21/10/2015,Entre Ramas AVENTURA,400.00,21/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1862.csv
Factura nº  a0120,"Actividades, Programa Escolar de Arborismo",Diputación de Cádiz,Diputación de Cádiz,400.00,Servicio,Contrato menor,3,22/10/2015,Entre Ramas AVENTURA,400.00,22/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1861.csv
47/2015EV,Limpieza Palacio y Edificio Roma ( 23/10   al13/11/2015),Diputación de Cádiz,DIPUTACION CADIZ,17292.01,servicios,menor,1,22/10/2015,"Soldene, S.A.",17292.01,22/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/103.csv
79/2015EV,Trabajos en el Cerramiento exterior acuartelamiento (Guardia Civil),Diputación de Cádiz,DIPUTACION CADIZ,6059.09,obras,menor,3,22/10/2015,"Alfonso Gutiérrez Romero, S.L.",6059.09,22/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/93.csv
76/2015EV,Techo de parking de motos en acuartelamiento ,Diputación de Cádiz,DIPUTACION CADIZ,5589.62,obras,menor,3,22/10/2015,Hierros y Aluminios Gómez y Almagro S.L.L.,5250,22/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/105.csv
74/2015EV,Resanado de grietas en muro y pintado del mismo y de las garitas,Diputación de Cádiz,DIPUTACION CADIZ,15182.73,obras,menor,3,22/10/2015,Arcoscons S.L.,13174.93,22/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/104.csv
Factura nº  a0118,"Actividades, Programa Escolar de Arborismo",Diputación de Cádiz,Diputación de Cádiz,400.00,Servicio,Contrato menor,3,23/10/2015,Entre Ramas AVENTURA,400.00,23/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1863.csv
49/2015EV,Adquisición de 1 faja protección lumbar Peón Caminero ,Diputación de Cádiz,DIPUTACION CADIZ,29.5,Suministro,menor,1,26/10/2015,"Jose Queralto Rosal, S.A.",29.5,26/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/110.csv
48/2015EV,Adquisición 10 faja protección lumbar R.M.Cádiz ,Diputación de Cádiz,DIPUTACION CADIZ,295,Suministro,menor,1,26/10/2015,"Jose Queralto Rosal, S.A.",295,26/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/109.csv
80/2015EV,Arreglo de sala de espera y oficina del sargento,Diputación de Cádiz,DIPUTACION CADIZ,3388.43,obras,menor,3,26/10/2015,Fernando Sánchez Domínguez,3300,26/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/106.csv
Factura nº  a0121,"Actividades, Programa Escolar de Arborismo",Diputación de Cádiz,Diputación de Cádiz,400.00,Servicio,Contrato menor,3,28/10/2015,Entre Ramas AVENTURA,400.00,28/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1860.csv
84/2015EV,Recuperación de drenaje en la Ca-3100 (Las Tablas) y CA-3113 (Puerto Real- La INA),Diputación de Cádiz,DIPUTACION CADIZ,41784.05,obras,menor,3,30/10/2015,"Caminos, Canales y Puertos",41516.53,30/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/95.csv
83/2015EV,Recuperación de drenaje en la Ca-3101(El Barroso) y Ca-3102 (Macharnudo),Diputación de Cádiz,DIPUTACION CADIZ,41832.68,obras,menor,3,30/10/2015,"Manuel Alba, S.A.",40995,30/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/94.csv
91/2015EV,Refuerzo de firme en la CA-9210 (Santuario),Diputación de Cádiz,DIPUTACION CADIZ,49728.34,obras,menor,4,30/10/2015,"Aglomerados Andaluces, S.L.U.",41495,30/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/108.csv
Factura nº  a0122,"Actividades, Programa Escolar de Arborismo",Diputación de Cádiz,Diputación de Cádiz,400.00,Servicio,Contrato menor,3,03/11/2015,Entre Ramas AVENTURA,400.00,03/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1859.csv
45/2015EV,Edición 500 Ejemplares del libro Historia de la Hermandad de la Virgen de la Soledad,Diputación de Cádiz,DIPUTACION CADIZ,4064.42,servicios,menor,4,03/11/2015,"Anel Gráfica Editorial, S.L.",3282.87,03/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/75.csv
86/2015EV,Reconstrucción de Solera de Obra de Fabrica en la CA-6105 (Alberite) PK12,Diputación de Cádiz,DIPUTACION CADIZ,20454.55,obras,menor,3,03/11/2015,Const. O.Pub. Y Serv. Mar S.L.,15220.16,03/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/97.csv
85/2015EV,"Refuerzo de firme en la CA-7103 (Acceso a Prado del Rey) PK 0-1,2",Diputación de Cádiz,DIPUTACION CADIZ,49622.33,obras,menor,3,03/11/2015,"Construcciones Garrucho, S.A.",38351,03/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/96.csv
88/2015EV,Estabilización de taludes en la CA-9102 (de Olvera a la A-384),Diputación de Cádiz,DIPUTACION CADIZ,49625,obras,menor,3,03/11/2015,Canteras de Almargen S.L.,41436.87,03/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/113.csv
Factura nº  a0123,"Actividades, Programa Escolar de Arborismo",Diputación de Cádiz,Diputación de Cádiz,400.00,Servicio,Contrato menor,3,04/11/2015,Entre Ramas AVENTURA,400.00,04/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1858.csv
49/2015EV,"Coordinación de seguridad y salud de las obras del PPOS 83,84,85,86,87,88,90 y 91",Diputación de Cádiz,DIPUTACION CADIZ,2502.03,servicios,menor,3,05/11/2015,SGS TECNOS S.A.,1899.51,05/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/129.csv
102/2015EV,REFUERZO FIRME CA-9113 (EL GASTOR-SETENIL)PK 5 A 6,Diputación de Cádiz,DIPUTACION CADIZ,49999.99,obras,menor,3,05/11/2015,Acedo Hermanos,42225.71,05/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/119.csv
101/2015EV,Acondicionamiento márgenes varias CC.PP. De la Zona Norte-1,Diputación de Cádiz,DIPUTACION CADIZ,49999.99,obras,menor,3,05/11/2015,Manuel Seda Delgado,44500,05/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/118.csv
100/2015EV,Refuerzo firme varios tramos CA-6107 (Algar-El Bosque),Diputación de Cádiz,DIPUTACION CADIZ,49999.99,obras,menor,3,05/11/2015,"Caminos, Canales y Puertos S.A.",48090.94,05/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/117.csv
99/2015EV,Refuerzo de firme en varios tramos de la CA-6108 (Algar-Puerto Galis) pk 2 a 12,Diputación de Cádiz,DIPUTACION CADIZ,49999.99,obras,menor,3,05/11/2015,"Manuel Alba, S.A.",42249.15,05/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/115.csv
48/2015EV,Servicio de autobuses (10 líneas en total) para el transporte de participantes para el desarrollo de las IV Convivencias de Escuelas de Atletismo en San Fernando y Chiclana de la Frontera,Diputación de Cádiz,DIPUTACION CADIZ,3275.7,servicios,menor,7,05/11/2015,"Autocares Rico, S.A.",3272.7,05/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/78.csv
98/2015EV,Reposición barrera de contención en varias carreteras,Diputación de Cádiz,DIPUTACION CADIZ,49999.99,obras,menor,3,05/11/2015,"Gallonga, S.A.",37450,05/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/114.csv
87/2015EV,Reparación de asentamiento en la Calzada CA-9113 (Gastor-Setenil),Diputación de Cádiz,DIPUTACION CADIZ,36911.16,obras,menor,4,05/11/2015,"Construcciones Garrucho, S.A.",28671.4,05/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/112.csv
90/2015EV,Reparaciones varias en CA-8200 (San Pablo-San Martín),Diputación de Cádiz,DIPUTACION CADIZ,49688.62,obras,menor,4,05/11/2015,Maygar,35830.07,05/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/107.csv
51/15EV,"Coordinación seguridad y salud de las obras 94,95,96,98,99,100,101 y 102",Diputación de Cádiz,DIPUTACION CADIZ,3206.61,servicios,menor,3,10/11/2015,Carlos Jesús Sánchez García (SIP Consultores),1954.55,10/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/116.csv
50/2015EV,Adquisición de 9 chaquetones mayordomia y brigada de mantenimiento,Diputación de Cádiz,DIPUTACION CADIZ,184.32,Suministro,menor,1,11/11/2015,Rutesa suministros y serv..S.L.,184.32,11/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/120.csv
82/2015EV,Terminación Tanatorio Municipal,Diputación de Cádiz,DIPUTACION CADIZ,21291.53,obras,menor,4,12/11/2015,Cerrajería Salado S.L.,15830.72,12/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/111.csv
54/2015EV ,Dotación mobiliario Centro SSE en Alcalá de los Gazules ,Diputación de Cádiz,DIPUTACION CADIZ,6611.57,Suministro,menor,5,13/11/2015,"Ofisal Oficinas,S.L.",6223,13/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/124.csv
97/2015EV,Sustitución del aire acondicionado dependencias de Secretaria nº 85 Planta Primera ,Diputación de Cádiz,DIPUTACION CADIZ,625,obras,menor,3,19/11/2015,"Serviclima Xerez, S.L.",619.84,19/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/101.csv
96/2015EV,Refuerzo de firme de varios tramos en la CA-5102 (Las Palomas),Diputación de Cádiz,DIPUTACION CADIZ,49999.99,obras,menor,3,20/11/2015,DI2 Portuense S.L.U.,49999.99,20/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/100.csv
51/2015EV,Adquisición de 12 sillas ergonómicas CTA provincia,Diputación de Cádiz,DIPUTACION CADIZ,1652.89,Suministro,menor,3,23/11/2015,"Ofisal Oficinas, S.L.",1246.8,23/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/121.csv
94/2015EV,Reconstrucción y protección de cunetas con escolleras en varias carreteras,Diputación de Cádiz,DIPUTACION CADIZ,18181.82,obras,menor,4,24/11/2015,"Manuel Alba, S.A.",17260,24/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/98.csv
58/2015EV,Adquisición de mobiliario para el Grupo Andalucista,Diputación de Cádiz,DIPUTACION CADIZ,4132.23,Suministro,menor,5,25/11/2015,"Ofisal Oficinas,S.L.",1000,25/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/127.csv
57/2015EV,"Adquisición sillas, reposapies y cajonera rodante",Diputación de Cádiz,DIPUTACION CADIZ,4132.23,Suministro,menor,5,25/11/2015,"Ofisal Oficinas,S.L.",2561.98,25/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/126.csv
52/2015EV,Adquisición de 2 mesas y 2 sillas (Ganemos Jerez y Cádiz Si se Puede),Diputación de Cádiz,DIPUTACION CADIZ,4132.23,Suministro,menor,3,25/11/2015,"Ofisal Oficinas, S.L.",566.12,25/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/122.csv
95/2015EV,Refuerzo de firme en la CA-9203 (Molino de Fuego),Diputación de Cádiz,DIPUTACION CADIZ,49999.99,obras,menor,3,25/11/2015,"Aglomerados Andaluces, S.L.U.",46872,25/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/99.csv
59/2015EV,Adquisición 40 insignias y 30 broches ,Diputación de Cádiz,DIPUTACION CADIZ,3714.29,Suministro,menor,1,30/11/2015,Joyería Rivera,3709.5,30/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/132.csv
53/2015EV,Diseño e impresión calendarios convivencias deportivas,Diputación de Cádiz,DIPUTACION CADIZ,413.22,servicios,menor,4,30/11/2015,Santa Teresa Ind.Gráficas,413.22,30/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/128.csv
53/2015EV,Adquisición cortacesped ,Diputación de Cádiz,DIPUTACION CADIZ,1859.5,Suministro,menor,7,30/11/2015,"Agrorecasur, S.L.",505.04,30/11/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/123.csv
Factura nº  006480,Cortacesped HUSQVARNA LC356V,Diputación de Cádiz,Diputación de Cádiz,611.10,Suministro,Contrato menor,3,01/12/2015,"AGRORECASUR, S.L.",611.10,01/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1839.csv
56/2015EV,Adquisición 10 alcoholimetros y 500 boquillas,Diputación de Cádiz,DIPUTACION CADIZ,1652.89,Suministro,menor,3,01/12/2015,"El Corte Ingles,S.A.",1454.77,01/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/125.csv
55/2015EV,Desbroces de márgenes de carreteras provinciales,Diputación de Cádiz,DIPUTACION CADIZ,17768.6,servicios,menor,3,09/12/2015,"Seanto, S.L.",17768.6,09/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/131.csv
54/2015EV ,Recuperación de malecones en la CA-82014,Diputación de Cádiz,DIPUTACION CADIZ,17768.6,servicios,menor,3,09/12/2015,"Eiffage Infraestructuras, S.A.",17768.6,09/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/130.csv
56/2015EV,Sellado de grietas de las carretera ,Diputación de Cádiz,DIPUTACION CADIZ,17768.6,servicios,menor,4,14/12/2015,Canteras de Almargen S.L.,17768.6,14/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/137.csv
62/2015EV,Adquisición mobiliario Recaudación,Diputación de Cádiz,DIPUTACION CADIZ,18000,Suministro,menor,3,14/12/2015,"Ofisal Oficinas, S.L.",13963,14/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/136.csv
59/2015EV,Asistencia técnica ,Diputación de Cádiz,DIPUTACION CADIZ,8264.07,servicios,menor,3,14/12/2015,"Audisur Auditores Independientes, S.L.",8264.07,14/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/133.csv
63/2015EV,Tres Trofeos Copa Diputación (Coñac) de 29 cm (8 cm de peana y 21 cm de metal),Diputación de Cádiz,DIPUTACION CADIZ,564,Suministro,menor,5,14/12/2015,"Soriano Silver, S.L.",564,14/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/87.csv
58/2015EV,Servicio de Asistencia Técnica Auditoria ENS,Diputación de Cádiz,DIPUTACION CADIZ,3955,servicios,menor,4,15/12/2015,Audisec Seguridad de la Información SL(Globalsuite),3541.67,15/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/134.csv
64/2015EV,Adquisición de 4 fajas para la brigada de PP.CC,Diputación de Cádiz,DIPUTACION CADIZ,129.8,Suministro,menor,8,16/12/2015,"Jose Queralto Rosal, S.A.",129.8,16/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/140.csv
46/2015EV,"1 proyector, 1 pantalla de techo y 3 baras de techo para anclaje proyector",Diputación de Cádiz,DIPUTACION CADIZ,802.42,Suministro,menor,3,16/12/2015,"Electrogardi, S.L.",423.88,16/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/77.csv
60/2015EV,Libro Historia de la bandera de la comandandancia de la Guardia Civil,Diputación de Cádiz,DIPUTACION CADIZ,2652.48,servicios,menor,3,18/12/2015,Linea Offset SL,2652.48,18/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/135.csv
Factura nº  1 003489,"Material Deportivo, Mancuerna de Goma AFW, diferentes pesos. Pavimento Caucho Rollo 18.75 m2 (1,25 x 15 m)",Diputación de Cádiz,Diputación de Cádiz,39091.64,Suministro,Contrato menor,3,23/12/2015,"OSS FITNESS, S.L.U.",39091.64,23/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1852.csv
62/2015EV,Mantenimiento Scanner Hiscan 5030 en Palacio Provincial,Diputación de Cádiz,DIPUTACION CADIZ,1297,servicios,menor,1,23/12/2015,TECOSA,1297,23/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/142.csv
2/2015EV,Póliza de seguro de vida y accidentes de los miembros de la Coporación hasta julio 2016,Diputación de Cádiz,DIPUTACION CADIZ,2500,privado,menor,3,28/12/2015,"Axa Aurora Vida, S.A. de Seguros y Reaseguros",1634.14,28/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/144.csv
63/2015EV,"Limpieza Campo del Sur, nº26",Diputación de Cádiz,DIPUTACION CADIZ,5115.16,servicios,menor,3,28/12/2015,"Ferronol Facility Service, S.L.",4184.74,28/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/143.csv
935,Auditoria Bienal del Esquema Nacional de Seguridad,Diputación de Cádiz,Diputación Provincial de Cádiz,3541.67,Servicio,Contratos menores,1,29/12/2015,AUDISEC Seguridad de Información S.L.,3541.67,29/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1810.csv
TK20150194,Visita guiada dentro del Proyecto Participaacción,Diputación de Cádiz,Servicio de Participación Ciudadana,125.00,Menores,Menores,1,29/12/2015,Circuito de Jerez,125.00,29/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/915.csv
Factura nº  A--132,"Suministro de Equipamiento Deportivo Inventariable, con Destino a Municipios y Entidades Locales de la Provincia, Plan de Apoyo a Municipios y Entidades Locales. En materia de Equipamiento Deportivo y Seguridad, Prevención de Accidentes Físicos y Cardiovasculares en Espacios Deportivos.",Diputación de Cádiz,Diputación de Cádiz,42912.41,Suministro,Contrato menor,3,30/12/2015,"GRUPO NIBERMA, S.L.",42912.41,30/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1848.csv
Factura nº  Emit- 105,PLAST. MATE f-400 CABRERA BCO.15L GUADIE,Diputación de Cádiz,Diputación de Cádiz,206.62,Suministro,Contrato menor,3,31/12/2015,"PINTURAS BRICO, CÁDIZ",206.62,31/12/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1846.csv
Factura nº  Emit-2,"Actividades Lúdico-Acuáticas, en piscina al aire libre de los Ayuntamientos de la Provincia",Diputación de Cádiz,Diputación de Cádiz,15000.00,Servicio,Contrato menor,3,04/01/2016,ANIMAS SCA,14771.68,04/01/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1845.csv
Factura nº  CO 000068,"Fotocopias, Lectura impresoras Servicio de Deportes",Diputación de Cádiz,Diputación de Cádiz,94.49,Servicio,Contrato menor,1,28/01/2016,"SISTEMAS DE OFICINAS DE CÁDIZ, S.L.",94.49,28/01/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1857.csv
Factura nº  AB 000118,"Fotocopias, lectura impresoras Servicio de Deportes",Diputación de Cádiz,Diputación de Cádiz,172.00,Servicio,Contrato menor,1,29/01/2016,"SISTEMAS DE OFICINAS DE CÁDIZ, S.L.",172.00,29/01/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1856.csv
M-1324,Compra de monitor de 27 pulgadas,Diputación de Cádiz - IEDT,IEDT,190.00,Compra,-,3,01/02/2016,"Sistemas de Oficina, S.L.",190.00,01/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/202.csv
Factura nº  Emit-25,"Servicio para la gestión, control de inscripciones pruebas y clasificaciones finales del Circuito de Diputación de Cádiz de Carreras Populares, carreras de Media Montaña y Medias Maratones 2014.",Diputación de Cádiz,Diputación de Cádiz,8790.00,Servicio,Contrato menor,3,11/02/2016,FEDERACIÓN ANDALUZA DE ATLETISMO,8790.00,11/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1850.csv
Factura nº  Emit- 26,IV- Convivencia de Escuelas de Atletismo (Programa Lucha Contra el Sedentarismo Infantil),Diputación de Cádiz,Diputación de Cádiz,800.00,Servicio,Contrato menor,3,11/02/2016,FEDERACIÓN ANDALUZA DE ATLETISMO,800.00,11/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1851.csv
SUMIN/00006/2016,Adquisición de mobiliario para el Parque Móvil,Diputación de Cádiz,Diputación Provincial,2884.36,Suministro,Menor,3,11/02/2016,"Ofisal Oficinas, S.L.",2748.00,11/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/402.csv
LHF16003,Cartelería taller Chandamama de Educación para el Desarrollo en las ludotecas de los municipios menores de 20.000 habitantes,Diputación de Cádiz,Servicio de Cooperación Internacional,433.18,Menores,Menores,1,17/02/2016,Asociación BioArtesanal La Huerta,433.18,17/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/907.csv
SERVI/00004/2016,Coordinación Seg. Y Salud obras 92/15 y 93/15 PPOS,Diputación de Cádiz,Diputación Provincial,743.52,Servicios,Menor,3,22/02/2016,David Antonio Soto Alba,743.52,22/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/301.csv
Factura nº  CO CO/000119,Lectura Fotocopias Impresoras Servicio de Deportes,Diputación de Cádiz,Diputación de Cádiz,82.03,Servicio,Contrato menor,1,23/02/2016,"SISTEMAS DE OFICINAS DE CÁDIZ, S.L.",82.03,23/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1849.csv
2016/2255,Reparación vehículo 0125 CVZ,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,127.05,MENORES,MENORES,1,24/02/2016,"CABELLO MOTOR, S.L.",127.05,24/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1104.csv
2016/2256,Reparación vehículo 0125 CVZ,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,109.37,MENORES,MENORES,1,24/02/2016,DIPUTACION PROVINCIAL DE CADIZ,109.37,24/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1105.csv
2016/2253,Reparación vehículo 0125CVZ,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,284.96,MENORES,MENORES,1,24/02/2016,"CABELLO MOTOR, S.L.",284.96,24/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1102.csv
2016/2252,Reparación vehículo 3062GKK,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,180.74,MENORES,MENORES,1,24/02/2016,"CABELLO MOTOR, S.L.",180.74,24/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1101.csv
2016/2250,Reparación vehículo 3062 GKK,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,176.02,MENORES,MENORES,1,24/02/2016,"CABELLO MOTOR, S.L.",176.02,24/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1001.csv
2016/2258,Reparación vehículo 3060GKK,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,359.29,MENORES,MENORES,1,24/02/2016,"CABELLO MOTOR, S.L",359.29,24/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1109.csv
2016/2257,Reparación vehículo 3527CBZ,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,191.40,MENORES,MENORES,1,24/02/2016,"CABELLO MOTOR, S.L.",191.40,24/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1107.csv
2016/2251,Reparación vehículo 9232CXH,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,359.75,MENORES,MENORES,1,24/02/2016,"CABELLO MOTOR, S.L.",359.75,24/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1002.csv
2016/2257,Reparación vehículo 2873 DZL,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,191.40,MENORES,MENORES,1,24/02/2016,DIPUTACION PROVINCIAL DE CADIZ,191.40,24/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1106.csv
2016/2254,Reparación vehículo 0125CVZ,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,306.02,MENORES,MENORES,1,24/02/2016,"CABELLO MOTOR, S.L.",360.02,24/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1103.csv
2016237,Material escolar Proyecto Participaacción,Diputación de Cádiz,Servicio de Participación Ciudadana,613.00,Menores,Menores,1,25/02/2016,"Copistería San Rafael, S.L.",613.00,25/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/916.csv
SERVI/00003/2016,Prestación del servicio de limpieza en la Casa de los Colores,Diputación de Cádiz,Diputación Provincial,2611.57,Servicios,Menor,4,25/02/2016,OHL Servicios- Ingensan,1655.57,25/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/302.csv
Factura nº 00816,"Edición Fotomontaje, Control Técnico Audiovisual, Distribuidor de Sonido para la prensa y Ordenador Portátil.",Diputación de Cádiz,Diputación de Cádiz,605.00,Servicio,Contrato menor,3,27/02/2016,PCM BROADCAST SERVICES,605.00,27/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1835.csv
